ts_code,name
511360.SH,短融ETF
511880.SH,银华日利ETF
513090.SH,香港证券ETF
588000.SH,科创50ETF
510300.SH,沪深300ETF
159915.SZ,创业板ETF
513180.SH,恒生科技指数ETF
588200.SH,科创芯片ETF
513330.SH,恒生互联网ETF
510050.SH,上证50ETF
511380.SH,可转债ETF
510500.SH,中证500ETF
513050.SH,中概互联网ETF
512100.SH,中证1000ETF
159338.SZ,中证A500ETF
159949.SZ,创业板50ETF
512880.SH,证券ETF
518880.SH,黄金ETF
512480.SH,半导体ETF
511130.SH,30年国债指数ETF
159605.SZ,中概互联ETF
513060.SH,恒生医疗ETF
159792.SZ,港股通互联网ETF
513310.SH,中韩半导体ETF
159920.SZ,恒生ETF
513120.SH,港股创新药ETF
159995.SZ,芯片ETF
512690.SH,酒ETF
512010.SH,医药ETF
512760.SH,芯片ETF
512660.SH,军工ETF
159941.SZ,纳指ETF
588220.SH,科创100ETF基金
512170.SH,医疗ETF
159869.SZ,游戏ETF
159819.SZ,人工智能ETF
159593.SZ,中证A50指数ETF
510900.SH,H股ETF
159992.SZ,创新药ETF
515790.SH,光伏ETF
159928.SZ,消费ETF
512710.SH,军工龙头ETF
511100.SH,基准国债ETF
511180.SH,上证可转债ETF
510880.SH,红利ETF
563300.SH,中证2000ETF
159851.SZ,金融科技ETF
515030.SH,新能源车ETF
512800.SH,银行ETF
512200.SH,房地产ETF
511260.SH,十年国债ETF
159892.SZ,恒生医药ETF
510210.SH,上证指数ETF
513980.SH,港股科技50ETF
159516.SZ,半导体设备ETF
515100.SH,红利低波100ETF
159781.SZ,科创创业ETF
512070.SH,证券保险ETF
159755.SZ,电池ETF
513360.SH,教育ETF
515080.SH,中证红利ETF
512670.SH,国防ETF
515220.SH,煤炭ETF
515880.SH,通信ETF
512400.SH,有色金属ETF
516160.SH,新能源ETF
159901.SZ,深证100ETF
511220.SH,城投债ETF
159967.SZ,创业板成长ETF
159972.SZ,5年地债ETF
159998.SZ,计算机ETF
511020.SH,活跃国债ETF
159852.SZ,软件ETF
515700.SH,新能车ETF
562500.SH,机器人ETF
512980.SH,传媒ETF
516970.SH,基建50ETF
515980.SH,人工智能ETF
511270.SH,10年地方债ETF
159766.SZ,旅游ETF
515800.SH,800ETF
159506.SZ,恒生医疗ETF
512890.SH,红利低波ETF
515400.SH,大数据ETF
