ts_code,name,一二级行业,细分行业,地区,上市日期,流通市值,3日成交额,总金额,AB股总市值,交易代码,涨幅%,净益率%,活跃度,股息率%,现价,涨跌,买价,卖价,总量,现量,涨速%,换手%,今开,最高,最低,昨收,60日涨幅%,市盈(动),量比,振幅%,均价,内盘,外盘,内外比,买量,卖量,未匹配量,委比%,量涨速%,短换手%,2分钟金额,主力净额,主力净比%,昨成交额,开盘金额,开盘抢筹%,开盘昨比%,开盘换手Z,竞价涨停买,竞价量比,封成比,封单额,流通股(亿),强弱度%,连涨天,昨涨幅%,3日涨幅%,20日涨幅%,年初至今%,年涨停天,流通股本Z,换手Z,流通市值Z,市值增减,市盈(TTM),市盈(静),近日指标提示,短期形态,中期形态,长期形态,开盘%,最高%,最低%,均涨幅%,回头波%,攻击波%,财务更新,总股本(亿),B/A股(亿),H股(亿),总资产(亿),净资产(亿),少数股权(亿),资产负债率%,流动资产(亿),固定资产(亿),无形资产(亿),流动负债(亿),货币资金(亿),存货(亿),应收账款(亿),合同负债(亿),资本公积金(亿),营业收入(亿),营业成本(亿),营业利润(亿),投资收益(亿),利润总额(亿),税后利润(亿),净利润(亿),扣非净利润(亿),未分利润(亿),经营现金流(亿),总现金流(亿),股东人数,人均持股,人均市值,利润同比%,收入同比%,市净率,市现率,市销率,每股收益,每股净资,每股公积,每股未分配,每股现金流,权益比%,毛利率%,营业利润率%,净利润率%,研发费用(亿),员工人数,自选日,自选价,自选收益%
562520,中证1000成长ETF,,1000成长创新,华夏基金,20220322,--  ,1717.3,451.05,          0.49亿,562520,-2.3,--  ,121,0,0.978,-0.023,0.977,0.978,45358,60,0.1,8.97,0.999,1.009,0.977,1.001,27.18,--  ,0.91,3.2,0.994,26617,18741,1.42,48,382,--  ,-4.46,0.29,0.06,1.85,0,0,493.35,--  ,0,--  ,--  ,--  ,--  ,--  ,--  ,--  ,-0.84,-4,-3.29,-5.79,2.52,5.5,0,--  ,--  ,--  ,         -0.01亿,--  ,--  ,-- -- ,12,2,11,-0.2,0.8,-2.4,-0.7,-3.07,0.1,20241113,0.51,--  ,--  ,0,0,--  ,0,0,0,0,0,--  ,0,0,--  ,0,0,0,0,0,0,0,0,--  ,0,0,0,0,--  ,--  ,0,0,0.94,0,0,0.000㈣,1.03,0,0,0,--  ,--  ,--  ,--  ,--  ,--  ,--  ,--  ,--  
511260,十年国债ETF,,10年国债,国泰基金,20170824,--  ,132196.15,43056.12,          0.00亿,511260,0.05,--  ,1115,0,131.625,0.063,131.616,131.631,32713,4,0,19.64,131.585,131.67,131.53,131.562,1.15,--  ,1.19,0.11,131.618,6836,25877,0.26,36,1,--  ,82.35,0.41,0.17,210.6,0,0,35585.66,--  ,0,--  ,--  ,--  ,--  ,--  ,--  ,--  ,1.5,1,-0.02,0.02,0.48,5.72,0,--  ,--  ,--  ,        -21.91亿,--  ,--  ,多头排列,8,8,8,0.02,0.08,-0.02,0.04,-0.03,0.07,20241113,0.17,--  ,--  ,0,0,--  ,0,0,0,0,0,--  ,0,0,--  ,0,0,0,0,0,0,0,0,--  ,0,0,0,0,--  ,--  ,0,0,1,0,0,0.000㈣,131.51,0,0,0,--  ,--  ,--  ,--  ,--  ,--  ,--  ,--  ,--  
510990,180ESGETF,,180 ESG,工银瑞信基金,20210701,--  ,3944.66,1230.52,          0.51亿,510990,-1.31,--  ,102,0,0.902,-0.012,0.899,0.902,134971,100,0.11,23.7,0.914,0.916,0.901,0.914,15.64,--  ,1.39,1.64,0.912,79365,55606,1.43,5500,3000,--  ,0.04,0.03,0.02,0.9,0,0,1330.95,--  ,0,--  ,--  ,--  ,--  ,--  ,--  ,--  ,0.14,-2,-1.4,-2.06,0.22,18.68,0,--  ,--  ,--  ,         -0.01亿,--  ,--  ,-- -- ,12,6,8,0,0.22,-1.42,-0.22,-1.53,0.11,20241113,0.57,--  ,--  ,0,0,--  ,0,0,0,0,0,--  ,0,0,--  ,0,0,0,0,0,0,0,0,--  ,0,0,0,0,--  ,--  ,0,0,0.97,0,0,0.000㈣,0.93,0,0,0,--  ,--  ,--  ,--  ,--  ,--  ,--  ,--  ,--  
510030,价值ETF,,180价值,华宝兴业基金,20100528,--  ,1698.08,515.72,          1.79亿,510030,-0.51,--  ,224,0,0.981,-0.005,0.979,0.985,52265,50,0.1,2.86,0.988,0.993,0.979,0.986,13.67,--  ,0.89,1.42,0.987,21517,30748,0.7,3,2388,--  ,-1.16,0.29,0.02,0.73,0,0,509.93,--  ,0,--  ,--  ,--  ,--  ,--  ,--  ,--  ,0.95,-2,-0.3,-0.1,-2.19,28.4,0,--  ,--  ,--  ,         -0.01亿,--  ,--  ,平台整理,10,12,8,0.2,0.71,-0.71,0.1,-1.21,0.2,20241114,1.83,--  ,--  ,0,0,--  ,0,0,0,0,0,--  ,0,0,--  ,0,0,0,0,0,0,0,0,--  ,0,0,0,0,--  ,--  ,0,0,0.99,0,0,0.000㈣,0.99,0,0,0,--  ,--  ,--  ,--  ,--  ,--  ,--  ,--  ,--  
510230,金融ETF,,180金融,国泰基金,20110523,--  ,17227.28,5753.86,         43.36亿,510230,-1.61,--  ,1051,0,1.28,-0.021,1.28,1.281,444463,30,-0.07,1.31,1.296,1.305,1.279,1.301,22.02,--  ,0.87,2,1.295,251980,192483,1.31,60,3492,--  ,-24.61,1.3,0.04,74.03,0,0,8753.26,--  ,0,--  ,--  ,--  ,--  ,--  ,--  ,--  ,-0.16,-1,0,-1.61,-2.22,35.59,0,--  ,--  ,--  ,         -0.71亿,--  ,--  ,-- -- ,10,10,12,-0.38,0.31,-1.69,-0.46,-1.92,0.08,20241114,33.88,--  ,--  ,0,0,--  ,0,0,0,0,0,--  ,0,0,--  ,0,0,0,0,0,0,0,0,--  ,0,0,0,0,--  ,--  ,0,0,0.98,0,0,0.000㈣,1.3,0,0,0,--  ,--  ,--  ,--  ,--  ,--  ,--  ,--  ,--  
560180,ESG300ETF,,300 ESG,南方基金,20230421,--  ,3177.01,458.48,          0.59亿,560180,-1.65,--  ,36,0,1.014,-0.017,1.013,1.016,44710,6000,-0.77,7.69,1.033,1.033,1.013,1.031,19.58,--  ,0.36,1.94,1.025,29852,14858,2.01,5004,5000,--  ,-15.78,7.36,1.04,0,0,0,1356.22,--  ,0,--  ,--  ,--  ,--  ,--  ,--  ,--  ,-0.2,-2,-1.72,-2.6,1,18.04,0,--  ,--  ,--  ,         -0.01亿,--  ,--  ,-- -- ,12,6,12,0.19,0.19,-1.75,-0.58,-1.84,0.1,20241113,0.58,--  ,--  ,0,0,--  ,0,0,0,0,0,--  ,0,0,--  ,0,0,0,0,0,0,0,0,--  ,0,0,0,0,--  ,--  ,0,0,0.97,0,0,0.000㈣,1.05,0,0,0,--  ,--  ,--  ,--  ,--  ,--  ,--  ,--  ,--  
562310,沪深300成长ETF,,300成长,银华基金,20220909,--  ,6365.16,2038.52,         11.82亿,562310,-2.58,--  ,629,0,0.792,-0.021,0.791,0.793,254518,60,-0.12,1.71,0.804,0.811,0.791,0.813,23.36,--  ,0.42,2.46,0.801,168512,86006,1.96,1793,654,--  ,15.99,1.45,0.05,40.02,0,0,2154.15,--  ,0,--  ,--  ,--  ,--  ,--  ,--  ,--  ,-1.13,-2,-2.05,-4.23,2.19,10.15,0,--  ,--  ,--  ,         -0.31亿,--  ,--  ,-- -- ,10,12,9,-1.11,-0.25,-2.71,-1.48,-2.34,0.13,20241113,14.93,--  ,--  ,0,0,--  ,0,0,0,0,0,--  ,0,0,--  ,0,0,0,0,0,0,0,0,--  ,0,0,0,0,--  ,--  ,0,0,0.96,0,0,0.000㈣,0.83,0,0,0,--  ,--  ,--  ,--  ,--  ,--  ,--  ,--  ,--  
159523,沪深300成长ETF,,300成长创新,华夏基金,20230919,--  ,1160.01,290.6,          0.79亿,159523,-1.46,--  ,171,0,1.012,-0.015,1.011,1.012,28441,354,0.1,3.62,1.029,1.03,1.011,1.027,18.78,--  ,0.51,1.85,1.022,16208,12233,1.32,1147,716,--  ,4.6,0.73,0.06,3.58,0,0,413.68,--  ,-0.09,--  ,--  ,--  ,--  ,--  ,--  ,--  ,1.16,-2,-1.91,-2.5,-0.49,13.07,0,--  ,--  ,--  ,         -0.01亿,--  ,--  ,-- -- ,1,10,14,0.19,0.29,-1.56,-0.49,-1.75,0.1,20241113,0.79,--  ,--  ,0,0,--  ,0,0,0,0,0,--  ,0,0,--  ,0,0,0,0,0,0,0,0,--  ,0,0,0,0,--  ,--  ,0,0,0.96,0,0,0.000㈣,1.05,0,0,0,--  ,--  ,--  ,--  ,--  ,--  ,--  ,--  ,--  
512070,证券保险ETF,,300非银,易方达基金,20140718,--  ,87137.93,40450.79,         89.10亿,512070,-3.53,--  ,2665,0,0.846,-0.031,0.846,0.847,4693775,10367,-0.23,4.46,0.876,0.884,0.846,0.877,48.68,--  ,1.17,4.33,0.862,2479484,2214291,1.12,17998,1274,--  ,6.63,6.96,0.57,2421.76,0,0,23561.62,--  ,0,--  ,--  ,--  ,--  ,--  ,--  ,--  ,-2.08,-6,-1.02,-4.62,1.2,42.18,0,--  ,--  ,--  ,         -3.27亿,--  ,--  ,-- -- ,4,12,8,-0.11,0.8,-3.53,-1.71,-4.3,0,20241114,105.32,--  ,--  ,0,0,--  ,0,0,0,0,0,--  ,0,0,--  ,0,0,0,0,0,0,0,0,--  ,0,0,0,0,--  ,--  ,0,0,0.95,0,0,0.000㈣,0.89,0,0,0,--  ,--  ,--  ,--  ,--  ,--  ,--  ,--  ,--  
512530,沪深300红利ETF,,300红利,建信基金,20190923,--  ,1827.89,678.49,          1.96亿,512530,-0.96,--  ,111,0,1.448,-0.014,1.446,1.448,46501,68,-0.13,3.43,1.462,1.476,1.448,1.462,10.03,--  ,1.07,1.92,1.459,26552,19949,1.33,2000,2,--  ,1.65,0.09,0.01,0.98,0,0,779.95,--  ,0,--  ,--  ,--  ,--  ,--  ,--  ,--  ,0.5,-2,-0.61,-0.89,-3.4,22.82,0,--  ,--  ,--  ,         -0.02亿,--  ,--  ,平台整理,10,5,8,0,0.96,-0.96,-0.21,-1.9,0,20241114,1.36,--  ,--  ,0,0,--  ,0,0,0,0,0,--  ,0,0,--  ,0,0,0,0,0,0,0,0,--  ,0,0,0,0,--  ,--  ,0,0,0.99,0,0,0.000㈣,1.47,0,0,0,--  ,--  ,--  ,--  ,--  ,--  ,--  ,--  ,--  
