ts_code,name
00700.HK,腾讯控股
09988.HK,阿里巴巴－Ｗ
00005.HK,汇丰控股
03690.HK,美团－Ｗ
01299.HK,友邦保险
01810.HK,小米集团－Ｗ
00388.HK,香港交易所
02388.HK,中银香港
00267.HK,中信股份
02020.HK,安踏体育
02888.HK,渣打集团
00016.HK,新鸿基地产
00669.HK,创科实业
01024.HK,快手－Ｗ
00011.HK,恒生银行
00066.HK,港铁公司
01109.HK,华润置地
00002.HK,中电控股
02378.HK,保诚
09633.HK,农夫山泉
02015.HK,理想汽车－Ｗ
00001.HK,长和
01928.HK,金沙中国有限公司
00688.HK,中国海外发展
00027.HK,银河娱乐
09987.HK,百胜中国
01038.HK,长江基建集团
00175.HK,吉利汽车
00012.HK,恒基地产
00992.HK,联想集团
00003.HK,香港中华煤气
01378.HK,中国宏桥
01113.HK,长实集团
00006.HK,电能实业
03692.HK,翰森制药
01876.HK,百威亚太
09992.HK,泡泡玛特
02057.HK,中通快递－Ｗ
02618.HK,京东物流
01972.HK,太古地产
00836.HK,华润电力
00291.HK,华润啤酒
06618.HK,京东健康
06862.HK,海底捞
02313.HK,申洲国际
02328.HK,中国财险
00288.HK,万洲国际
00960.HK,龙湖集团
09868.HK,小鹏汽车－Ｗ
00004.HK,九龙仓集团
01929.HK,周大福
00316.HK,东方海外国际
01209.HK,华润万象生活
00083.HK,信和置业
02319.HK,蒙牛乳业
01193.HK,华润燃气
00135.HK,昆仑能源
01997.HK,九龙仓置业
00285.HK,比亚迪电子
02269.HK,药明生物
01177.HK,中国生物制药
09926.HK,康方生物
00322.HK,康师傅控股
00241.HK,阿里健康
01801.HK,信达生物
06969.HK,思摩尔国际
02382.HK,舜宇光学科技
01093.HK,石药集团
02688.HK,新奥能源
01308.HK,海丰国际
03808.HK,中国重汽
00293.HK,国泰航空
03311.HK,中国建筑国际
00020.HK,商汤－Ｗ
00151.HK,中国旺旺
00144.HK,招商局港口
00019.HK,太古股份公司Ａ
02367.HK,巨子生物
06186.HK,中国飞鹤
09626.HK,哔哩哔哩－Ｗ
00788.HK,中国铁塔
01519.HK,极兔速递－Ｗ
03998.HK,波司登
01821.HK,ESR
00966.HK,中国太平
01585.HK,雅迪控股
09896.HK,名创优品
02588.HK,中银航空租赁
02331.HK,李宁
00881.HK,中升控股
03668.HK,兖煤澳大利亚
00780.HK,同程旅行
02380.HK,中国电力
03888.HK,金山软件
03800.HK,协鑫科技
00868.HK,信义玻璃
02282.HK,美高梅中国
02018.HK,瑞声科技
01735.HK,中环新能源
00656.HK,复星国际
09863.HK,零跑汽车
00384.HK,中国燃气
03320.HK,华润医药
00008.HK,电讯盈科
00412.HK,山高控股
00659.HK,新创建集团
01882.HK,海天国际
01208.HK,五矿资源
00270.HK,粤海投资
00220.HK,统一企业中国
01818.HK,招金矿业
09880.HK,优必选
00522.HK,ASMPT
