code,name,流通市值,涨幅%,现价,买价,卖价,总量,现量,涨速%,换手%,量比,今开,最高,最低,总金额,2分钟涨%,细分行业,振幅%,涨跌,按盘价,昨收,冷静期,抛空额,抛空量,市值增减,资金流向,内外比,活跃度,笔均量,总市值,市盈(TTM),52周最高,52周最低,年初至今%,历史波动率%,每手,平衡价,平衡量,开盘%,最高%,最低%,均涨幅%,实体涨幅%,回头波%,攻击波%,现均差%,币种,财务更新,上市日期,H股(亿),总资产(亿),净资产(亿),营业收入(亿),净利润(亿),每股收益,每股净资,每股股息,股息率%,净益率%,权益比%
00700,腾讯控股,      37162.12亿,-0.59,401,--  ,,29061324,1698300,0.1,0.31,1.09,404,407,399,1169431.96,0.05,软件服务,1.98,-2.4,401,403.4,--  ,126809.8,3150900,       -222.42亿,   -3.2万,1,25086,1158,      37162.12亿,19.63,482.4,256.8,38.18,38.13,100,0,0,0.15,0.89,-1.09,-0.26,-0.74,-1.47,0.5,-0.34,HKD,20240930,20040616,92.67,17233.57,9125.86,4878.11,1427.49,17.017,108.32,3.4,0.85,15.64,52.95
09988,阿里巴巴－Ｗ,      16691.48亿,-0.85,87.2,--  ,,49182996,4317700,-0.17,0.26,0.62,88,88.75,87,431330.82,-0.1,专业零售,1.99,-0.75,87.2,87.95,--  ,78171.64,8902300,       -143.56亿,-4272.8,1,25685,1915,      16691.48亿,21.44,118.7,62.976,17.88,41.88,100,0,0,0.06,0.91,-1.08,-0.29,-0.91,-1.75,0.23,-0.57,HKD,20240630,20191126,191.42,17850.54,9489.28,2432.36,243.9,1.381,51.03,2.6,2.98,2.57,53.16
00941,中国移动,      14519.57亿,1.29,70.55,--  ,,24660888,927000,-0.07,0.12,0.83,69.8,71.15,69.8,174259.21,-0.06,电讯,1.94,0.9,70.55,69.65,--  ,35451.39,5017500,        193.35亿,-493.85,1,11691,2109,      15156.47亿,9.88,77.7,56.15,17.98,23.85,500,0,0,0.22,2.15,0.22,1.45,1.07,-0.84,1.07,-0.16,HKD,20240930,19971023,205.81,20186.43,13605.39,7914.58,1108.81,5.744,70.27,5,7.09,8.15,67.4
00939,建设银行,      14088.46亿,0.34,5.86,--  ,,280302720,26833000,-0.34,0.12,0.7,5.84,5.94,5.82,164625.84,-0.33,银行,2.05,0.02,5.86,5.84,--  ,53656.41,91280000,         50.00亿,-70.32,1,6795,41251,      14650.64亿,3.93,6.29,3.862,39.14,31.4,1000,0,0,0,1.71,-0.34,0.57,0.34,-1.35,0.69,-0.22,HKD,20240930,20051027,2404.17,409230.41,33209.14,5523.47,2557.76,1.12,14.73,0.44,7.48,7.7,8.12
00005,汇丰控股,      12622.31亿,0.8,69.7,--  ,,11094803,665200,0,0.06,0.69,69.7,70.1,69.45,77370.18,0,银行,0.94,0.55,69.7,69.15,--  ,17289.04,2481200,         99.60亿,-2160.7,1,2489,4458,      12622.31亿,7.21,72.5,51.397,23.15,17.33,400,0,0,0.8,1.37,0.43,0.85,0,-0.57,0.36,-0.05,HKD,20240930,19800102,181.09,30986.21,1927.54,542.9,227.2,9.558,81.94,6.4,9.19,11.79,6.22
03690,美团－Ｗ,       9331.48亿,0.18,169.6,--  ,,26486304,1978700,-0.18,0.48,0.63,171,174,166.6,451360.92,0,专业零售,4.37,0.3,169.6,169.3,--  ,113403.17,6647000,         18.26亿,-5936,1,21026,1260,      10320.60亿,41.48,217,61.1,107.08,75.8,100,0,0,1,2.78,-1.59,0.66,-0.82,-2.53,1.8,-0.48,HKD,20240630,20180920,55.02,2855.58,1605.55,1555.27,167.2,2.958,28.44,0,0,10.41,56.23
00883,中国海洋石油,       7491.62亿,0.48,16.82,--  ,,82670184,2189000,0,0.19,0.57,16.8,17.06,16.74,139674.73,0,石油天然气,1.91,0.08,16.82,16.74,--  ,20322.54,12025000,         38.02亿,-67.28,1,10735,7701,       7994.54亿,5.01,23.16,10.48,45,38.13,1000,0,0,0.36,1.91,0,0.93,0.12,-1.41,0.48,-0.45,HKD,20240930,20010228,445.4,10793.9,7188.33,3260.24,1166.59,2.717,16.77,1.4,8.32,16.23,66.6
01299,友邦保险,       6199.08亿,-1.82,56.8,--  ,,46249744,6227200,-0.09,0.42,1.59,58.05,58.35,56.4,263631.87,-0.17,保险,3.37,-1.05,56.8,57.85,--  ,38064.78,6681800,       -114.60亿,-1022.4,1,7590,6094,       6199.08亿,16.46,74.6,43.614,-14.48,41.59,200,0,0,0.35,0.86,-2.51,-1.46,-2.15,-2.66,0.71,-0.35,HKD,20240630,20101029,109.14,2892.45,393.65,30.26,33.14,2.343,27.44,1.64,2.88,8.42,13.61
01810,小米集团－Ｗ,       5724.61亿,0.54,28,--  ,,117132032,4600800,0,0.57,0.6,28.15,28.65,27.75,329818.37,-0.17,资讯科技,3.23,0.15,28,27.85,--  ,89738.38,31845400,         37.44亿,-644,1,18477,6339,       6989.52亿,33.42,29.7,11.84,79.49,47.1,200,0,0,1.08,2.87,-0.36,1.09,-0.53,-2.27,0.9,-0.55,HKD,20240630,20180709,204.45,3421.75,1725.72,1643.95,92.8,0.405,7.57,0,0,5.38,50.43
01398,工商银行,       3992.53亿,-0.22,4.6,--  ,,227069808,19249000,-0.22,0.26,0.58,4.62,4.66,4.59,104900.51,-0.21,银行,1.52,-0.01,4.6,4.61,--  ,36628.86,79256000,        -35.64亿,-73.6,1,4504,50415,      16394.69亿,4.03,4.97,3.174,32.02,29.17,1000,0,0,0.22,1.08,-0.43,0.22,-0.43,-1.29,0.22,-0.43,HKD,20240930,20061027,867.94,483577.56,39010.83,5991.07,2690.25,0.798,12.14,0.34,7.3,6.9,8.07
