明细,序号,证券代码,证券名称,股票余额,实际数量,可用余额,冻结数量,成本价,市价,盈亏,盈亏比(%),当日盈亏,当日盈亏比(%),市值,仓位占比(%),当日买入,当日卖出,交易市场,checksum1,checksum2,持股天数
,1,002871,伟隆股份,1100,1100,1100,0,9.531,9.52,-12.05,-0.12,33,0.32,10472,1.28,0,0,深Ａ,KHkVCV8a44n91h,uOJ42BPm,3
,2,159307,100红利,10400,10400,10400,0,1.054,1.02,-357.76,-3.26,41.6,0.39,10608,1.29,0,0,深Ａ,HaxQ7lep7d5ML0,q49GYH2Q,13
,3,159338,中证A500,7400,8400,7400,0,0.902,0.934,272.05,3.59,74.6,0.96,7845.6,0.96,0,0,深Ａ,eyQqyy2owQ5Ye6,x02m067m,10
,4,159501,纳指基金,92400,98400,98400,-6000,1.489,1.524,3447.73,2.35,74.4,0.05,149961.6,18.28,0,0,深Ａ,dgtgYMlV7S59ap,ZJ7p0ADa,10
,5,159502,标普生科,2500,1900,1900,600,1.045,1.021,-45.09,-2.27,38.7,1.54,1939.9,0.24,0,0,深Ａ,sspnff4iJxrT8w,L94j53xC,10
,6,159509,纳指科技,4400,4400,4400,0,2.015,1.638,-1658.1,-18.7,30.8,0.43,7207.2,0.88,0,0,深Ａ,3R4782we9dYy00,3EwXq3Jp,15
,7,159518,标普油气,6400,6400,6400,0,1.002,1.174,1101.31,17.18,0,0,7513.6,0.92,0,0,深Ａ,3VY1a0Z7AkOWE8,r3eCgAw9,10
,8,159531,中证2000,5100,5100,5100,0,0.995,1.016,108.47,2.14,86.7,1.7,5181.6,0.63,0,0,深Ａ,z4QYcCgs9YAfcx,wm3mub7d,8
,9,159545,港股红利,15800,15800,15800,0,1.17,1.203,520.35,2.81,173.8,0.92,19007.4,2.32,0,0,深Ａ,3C5Fh16pah0130,8BJYcoMA,10
,10,159593,A50指数,7300,7300,6600,700,1.082,1.116,248.92,3.15,60.9,0.69,8146.8,0.99,0,0,深Ａ,iI5zRcxhXj5CR9,kQv7bu7b,10
,11,159605,互联中概,14400,13300,13300,1100,0.849,0.914,862.7,7.64,381.1,2.98,12156.2,1.48,0,0,深Ａ,r2dSM85QazO31R,N43KG62S,10
,12,159758,红利50,8900,8900,7600,1300,0.86,0.904,392.3,5.13,100.7,1.1,8045.6,0.98,0,0,深Ａ,Xdp45qTa3Pew86,IxcgmJhF,10
,13,159915,创业板,2000,2000,1600,400,1.855,2.084,458.86,12.37,78,1.58,4168,0.51,0,0,深Ａ,Jsq6mMGiSaD5kL,0SnN3kA3,10
,14,159920,恒生ETF,14300,13200,13200,1100,1.195,1.235,525.81,3.33,259.6,1.49,16302,1.99,0,0,深Ａ,147T6Hn6JLB23b,nXjyVH82,10
,15,159980,有色ETF,8100,3200,3200,4900,1.668,1.656,-37.54,-0.7,59.7,0.45,5299.2,0.65,0,0,深Ａ,Gn28ud3g2gO8BE,13fIi9Za,10
,16,159981,能源化工,8100,9000,9000,-900,1.473,1.446,-240.35,-1.81,9,0.07,13014,1.59,0,0,深Ａ,68YC5Qag85Z143,fLRf8Z0X,10
,17,159985,豆粕ETF,3800,3100,3100,700,1.801,1.924,382.05,6.84,22.5,0.31,5964.4,0.73,0,0,深Ａ,1zt6yqBWGM7d9b,0DHDh6j3,10
,18,162411,华宝油气,24300,24300,24300,0,0.803,0.799,-85.8,-0.44,97.2,0.5,19415.7,2.37,0,0,深Ａ,o1j9MVhuaLo99e,ddB73mfw,10
,19,301362,民爆光电,300,300,300,0,38.944,38.28,-199.17,-1.71,-6,-0.05,11484,1.4,0,0,深Ａ,b83Ql3V508BmN6,g2KYggYg,3
,20,501018,南方原油,7100,7100,7100,0,1.075,1.302,1614.56,21.16,-7.1,-0.08,9244.2,1.13,0,0,沪Ａ,ajD70aYDX49C05,I1gbuAEF,14
,21,510170,商品ETF,7300,8300,7300,0,0.854,0.867,110.45,1.56,73.7,1.03,7196.1,0.88,0,0,沪Ａ,wNFIV1ScTWApao,QTA4hgrY,10
,22,510300,300ETF,1100,1100,1100,0,3.678,3.929,276.48,6.83,35.2,0.82,4321.9,0.53,0,0,沪Ａ,6M8xCzL3L5II90,qN7n4oh7,10
,23,510500,500ETF,1100,1100,1100,0,5.332,5.652,351.64,6,74.8,1.22,6217.2,0.76,0,0,沪Ａ,eFrejn8Gi8xUHT,OjyFWiv1,10
,24,512100,1000ETF,1900,1900,1900,0,2.304,2.38,144.09,3.29,89.3,2.01,4522,0.55,0,0,沪Ａ,G4eiy1A2uTA3Z0,ze287xZe,8
,25,512950,央企改革,6400,6400,6400,0,1.271,1.307,232.16,2.85,64,0.77,8364.8,1.02,0,0,沪Ａ,9hKj5I688hc2U4,HXzX8Ix6,10
,26,513080,法国ETF,1600,2000,2000,-400,1.49,1.797,613.99,20.6,22.8,0.45,3594,0.44,0,0,沪Ａ,q67qfU2tS46MX2,Zs1ypmqx,10
,27,513130,恒生科技,23000,21000,21000,2000,0.569,0.622,1112.64,9.31,441,2.92,13062,1.59,0,0,沪Ａ,mp4Xf89KX897ik,F5f24Gt3,10
,28,513290,纳指生物,1900,1300,1300,600,1.156,1.194,49.09,3.27,19.9,0.88,1552.2,0.19,0,0,沪Ａ,lRLi5fBuDAYk4Z,11zHK0ix,10
,29,513310,中韩芯片,6400,7100,7100,-700,1.484,1.536,372.75,3.54,34.9,0.32,10905.6,1.33,0,0,沪Ａ,74KMKBNnWwiAR0,6Z3hj9n4,13
,30,513400,道琼斯,8500,8500,8500,0,1.086,1.19,887.96,9.62,68,0.68,10115,1.23,0,0,沪Ａ,R6bG19ONLSRE84,IHCi2CQf,10
,31,513630,香港红利,17300,17300,17300,0,1.293,1.269,-421.12,-1.88,190.3,0.87,21953.7,2.68,0,0,沪Ａ,X7A0XXsQ87q72u,62frzhp7,28
,32,513650,标普ETF,86300,98200,98200,-11900,1.613,1.65,3648.01,2.3,683.6,0.41,162030,19.76,0,0,沪Ａ,67uoxtdfXfV7Lr,LUFsL5a0,10
,33,513690,恒生股息,9700,9700,9700,0,0.842,0.868,250.6,3.07,127.6,1.34,8419.6,1.03,0,0,沪Ａ,v888zg1a0WQX4K,QQ3t73s0,10
,34,513730,东南亚,2800,2800,2800,0,1.376,1.326,-141.15,-3.66,-28,-0.75,3712.8,0.45,0,0,沪Ａ,G7uPWiMh52QIfU,sZ9k2D0p,10
,35,513800,东证ETF,4500,6900,6900,-2400,1.39,1.404,99.95,1.04,-73.1,-0.67,9687.6,1.18,0,0,沪Ａ,X9CseG3rXE74s8,ea2ZR7t6,10
,36,513850,美国50,3700,3700,3700,0,2.003,1.467,-1984.27,-26.77,11.1,0.2,5427.9,0.66,0,0,沪Ａ,eIjnV10N999fyl,oc31j1n8,14
,37,513880,日经225,5500,6400,6400,-900,1.331,1.36,186.32,2.19,-67,-0.67,8704,1.06,0,0,沪Ａ,1WkV1CP537YuD4,a30y8WEY,10
,38,515180,100红利,5300,5300,5300,0,1.265,1.321,298.68,4.46,31.8,0.46,7001.3,0.85,0,0,沪Ａ,qpNXsCK7PdJUI1,uZg878VX,10
,39,516310,银行指基,7700,7700,7700,0,1.131,1.214,635.27,7.29,30.8,0.33,9347.8,1.14,0,0,沪Ａ,wU76kS119d1SW8,J5Qr1v8c,24
,40,518880,黄金ETF,15100,15100,15100,0,6.123,6.218,1436.91,1.55,468.1,0.5,93891.8,11.45,0,0,沪Ａ,060OjQvPRW7GmI,JmJyd2C6,10
,41,563020,低波红利,6100,5300,5300,800,1.175,1.134,-215.94,-3.47,32.9,0.48,6010.2,0.73,0,0,沪Ａ,nfaq6l9SgOb9k5,xj7An56H,13
,42,588000,科创50,3800,4500,3800,0,0.955,1.029,333.14,7.75,36,0.78,4630.5,0.56,0,0,沪Ａ,89uno1NR7P6Sdb,822k6Wy3,10
,43,600036,招商银行,200,200,200,0,37.969,40.26,458.21,6.03,86,1.08,8052,0.98,0,0,沪Ａ,1XXMeA29zFlsld,sx3nQIuW,23
,44,600248,陕建股份,2000,2000,1700,300,4.285,4.28,-9.83,-0.12,95,0.97,8560,1.04,0,0,沪Ａ,Q71Cyq93786OYL,fGqrHcT3,4
,45,600919,江苏银行,1000,800,800,200,9.294,9.77,380.85,5.12,166,1.73,7816,0.95,0,0,沪Ａ,Z2zs3B9Mus83Fn,H3zYaCEP,10
,46,600926,杭州银行,500,500,400,100,14.024,14.59,282.82,4.03,38,0.44,7295,0.89,0,0,沪Ａ,AOUW9h5h9Daxb0,VzDr06ij,10
,47,601009,南京银行,800,800,800,0,10.336,10.55,170.87,2.07,-24,-0.28,8440,1.03,0,0,沪Ａ,eRhn4m07T7d8HW,O33dEr6h,10
,48,601838,成都银行,600,600,500,100,16.605,16.85,146.73,1.47,124,1.06,10110,1.23,0,0,沪Ａ,2FqUDN1327EWa5,FzH3bLqM,10
,49,603057,紫燕食品,600,700,600,0,17.308,16.7,-425.37,-3.51,2,0.02,11690,1.43,0,0,沪Ａ,9dOTnqYfA453ns,9ZA41S5q,4
,50,787411,海博申购,500,500,500,0,19.38,19.38,0,0,0,0,9690,0,0,0,沪Ａ,qPIPr2r8UALQ90,ie5TZGqM,--
